profit,max_dd,trades,winrate,score,calmar,patterns,combo,n_patterns,matches
71.87499999999999,-7.800000000000011,103,0.912621359223301,67.19499999999998,9.214743589743575,"('0-0', 'Carry', 'Chain')",0-0 + Carry + Chain,3,103
77.79999999999998,-19.500000000000043,129,0.8682170542635659,66.09999999999995,3.98974358974358,"('0-0', 'Rise', 'Momentum')",0-0 + Rise + Momentum,3,129
76.99499999999999,-18.930000000000035,123,0.8699186991869918,65.63699999999997,4.067353407290008,"('0-0', 'Carry', 'Rise')",0-0 + Carry + Rise,3,123
80.30499999999998,-25.590000000000046,158,0.8607594936708861,64.95099999999995,3.1381398983978053,"('Carry', 'Chain', 'Momentum')",Carry + Chain + Momentum,3,158
67.8,-6.0,107,0.897196261682243,64.2,11.299999999999999,"('0-0', 'Push')",0-0 + Push,2,107
71.75,-13.500000000000028,115,0.8782608695652174,63.649999999999984,5.314814814814803,"('0-0', 'Rise', 'Chain')",0-0 + Rise + Chain,3,115
78.77999999999999,-25.590000000000046,152,0.868421052631579,63.42599999999996,3.0785463071512247,"('Carry', 'Momentum')",Carry + Momentum,2,152
73.15,-19.350000000000023,110,0.8909090909090909,61.53999999999999,3.780361757105939,"('Push', 'Carry', 'Rise')",Push + Carry + Rise,3,110
63.675,-10.450000000000031,96,0.90625,57.40499999999998,6.09330143540668,"('Push', 'Rise', 'Chain')",Push + Rise + Chain,3,96
67.52499999999999,-20.40000000000002,107,0.8785046728971962,55.28499999999998,3.3100490196078396,"('Push', 'Rise', 'Momentum')",Push + Rise + Momentum,3,107
46.19999999999999,-9.900000000000006,78,0.8974358974358975,40.259999999999984,4.6666666666666625,"('Push', 'Carry', 'Chain')",Push + Carry + Chain,3,78
42.14999999999997,-8.700000000000017,71,0.8873239436619719,36.92999999999996,4.8448275862068835,"('0-0', 'Rise')",0-0 + Rise,2,71
40.49999999999997,-6.0,54,0.9259259259259259,36.89999999999997,6.749999999999996,"('Push', 'Rise')",Push + Rise,2,54
39.749999999999986,-10.950000000000003,61,0.9016393442622951,33.179999999999986,3.6301369863013675,"('0-0', 'Momentum')",0-0 + Momentum,2,61
40.074999999999996,-12.700000000000017,72,0.8888888888888888,32.454999999999984,3.1555118110236173,"('Push', 'Chain', 'Momentum')",Push + Chain + Momentum,3,72
36.96,-9.539999999999992,58,0.896551724137931,31.236000000000004,3.8742138364779906,"('0-0', 'Carry')",0-0 + Carry,2,58
29.999999999999996,-8.849999999999998,44,0.9090909090909091,24.689999999999998,3.3898305084745766,"('0-0', 'Chain')",0-0 + Chain,2,44
27.14999999999999,-9.0,49,0.8775510204081632,21.749999999999993,3.0166666666666657,"('Push', 'Carry')",Push + Carry,2,49
23.85499999999999,-9.0,57,0.8421052631578947,18.45499999999999,2.650555555555554,"('Rise', 'Chain', 'Momentum')",Rise + Chain + Momentum,3,57
20.499999999999996,-5.0,33,0.9090909090909091,17.499999999999996,4.1,"('Push', 'Chain')",Push + Chain,2,33
23.704999999999988,-10.649999999999999,53,0.8490566037735849,17.31499999999999,2.225821596244131,"('Carry', 'Rise', 'Chain')",Carry + Rise + Chain,3,53
22.949999999999996,-9.899999999999999,45,0.8666666666666667,17.009999999999998,2.318181818181818,"('Push', 'Momentum')",Push + Momentum,2,45
15.299999999999997,-7.949999999999999,30,0.8666666666666667,10.529999999999998,1.9245283018867922,"('Rise', 'Momentum')",Rise + Momentum,2,30
15.149999999999995,-9.0,26,0.8846153846153846,9.749999999999996,1.6833333333333327,"('Carry', 'Rise')",Carry + Rise,2,26
8.799999999999997,-6.899999999999999,27,0.8148148148148148,4.659999999999998,1.2753623188405796,"('Rise', 'Chain')",Rise + Chain,2,27
4.199999999999999,0.0,4,1.0,4.199999999999999,4.199999999999999,"('Rise',)",Rise,1,4
3.4499999999999984,-3.9000000000000004,11,0.8181818181818182,1.109999999999998,0.8846153846153841,"('Carry', 'Chain')",Carry + Chain,2,11
1.0499999999999998,0.0,1,1.0,1.0499999999999998,1.0499999999999998,"('Carry',)",Carry,1,1
2.3999999999999986,-3.9000000000000004,10,0.8,0.05999999999999828,0.615384615384615,"('Chain', 'Momentum')",Chain + Momentum,2,10
0.0,0.0,0,0.0,0.0,0.0,"('Momentum',)",Momentum,1,0
-0.9000000000000004,-3.0,3,0.6666666666666666,-2.7,-0.3000000000000001,"('0-0',)",0-0,1,3
-1.9500000000000002,-3.0,2,0.5,-3.75,-0.65,"('Push',)",Push,1,2
-3.9000000000000004,-3.0,4,0.5,-5.7,-1.3,"('Chain',)",Chain,1,4
