colonna,range,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_1,2.45-2.50,2.450000000000001,2.500000000000001,95,0.8105263157894737,3.5600000000000023,3.747368421052634,1.2337662337662338
odd_x,3.55-3.60,3.5499999999999963,3.599999999999996,158,0.810126582278481,5.840000000000003,3.696202531645572,1.234375
spread_fav_dog,1.75-1.80,1.7500000000000007,1.8000000000000007,42,0.8095238095238095,1.5200000000000014,3.6190476190476226,1.2352941176470589
odd_fav,2.15-2.20,2.150000000000001,2.200000000000001,136,0.8088235294117647,4.800000000000004,3.529411764705886,1.2363636363636363
odd_dog,3.50-3.55,3.4999999999999982,3.549999999999998,183,0.8087431693989071,6.440000000000005,3.519125683060112,1.2364864864864864
odd_x,3.70-3.75,3.6999999999999957,3.7499999999999956,141,0.8085106382978723,4.920000000000002,3.4893617021276606,1.236842105263158
odd_1,2.35-2.40,2.350000000000001,2.4000000000000012,99,0.8080808080808081,3.400000000000002,3.4343434343434365,1.2375
spread_fav_dog,1.20-1.25,1.2000000000000002,1.2500000000000002,124,0.8064516129032258,4.0000000000000036,3.2258064516129057,1.24
odd_2,3.35-3.40,3.3500000000000023,3.400000000000002,51,0.803921568627451,1.4800000000000004,2.9019607843137263,1.2439024390243902
spread_fav_dog,1.00-1.05,1.0,1.05,127,0.8031496062992126,3.5600000000000023,2.8031496062992143,1.2450980392156863
odd_dog,3.65-3.70,3.6499999999999977,3.6999999999999975,91,0.8021978021978022,2.4400000000000013,2.6813186813186825,1.2465753424657533
odd_dog,3.55-3.60,3.549999999999998,3.599999999999998,136,0.8014705882352942,3.520000000000003,2.5882352941176494,1.2477064220183485
odd_2,2.30-2.35,2.3000000000000007,2.350000000000001,40,0.8,0.9600000000000009,2.400000000000002,1.25
odd_2,3.90-3.95,3.900000000000002,3.950000000000003,35,0.8,0.8400000000000007,2.400000000000002,1.25
odd_x,4.00-4.05,3.9999999999999947,4.0499999999999945,55,0.8,1.3200000000000003,2.4000000000000004,1.25
odd_x,3.60-3.65,3.599999999999996,3.649999999999996,183,0.7978142076502732,3.8800000000000026,2.120218579234974,1.2534246575342465
odd_1,1.55-1.60,1.5500000000000003,1.6000000000000003,88,0.7954545454545454,1.6000000000000014,1.81818181818182,1.2571428571428571
odd_fav,2.45-2.50,2.450000000000001,2.500000000000001,132,0.7954545454545454,2.400000000000002,1.81818181818182,1.2571428571428571
odd_x,3.75-3.80,3.7499999999999956,3.7999999999999954,83,0.7951807228915663,1.4800000000000004,1.7831325301204823,1.2575757575757576
odd_2,3.45-3.50,3.450000000000002,3.5000000000000018,39,0.7948717948717948,0.6800000000000015,1.7435897435897474,1.2580645161290323
odd_fav,2.05-2.10,2.0500000000000007,2.1000000000000005,136,0.7941176470588235,2.240000000000002,1.6470588235294132,1.2592592592592593
odd_fav,1.95-2.00,1.9500000000000006,2.000000000000001,136,0.7941176470588235,2.240000000000002,1.6470588235294132,1.2592592592592593
spread_fav_dog,1.35-1.40,1.3500000000000003,1.4000000000000004,63,0.7936507936507936,1.0000000000000018,1.58730158730159,1.26
odd_1,2.10-2.15,2.1000000000000005,2.150000000000001,87,0.7931034482758621,1.3200000000000003,1.5172413793103452,1.2608695652173914
odd_x,3.80-3.85,3.7999999999999954,3.849999999999995,72,0.7916666666666666,0.9600000000000009,1.3333333333333344,1.2631578947368423
odd_dog,3.60-3.65,3.599999999999998,3.6499999999999977,139,0.7913669064748201,1.8000000000000043,1.2949640287769815,1.2636363636363637
odd_2,2.55-2.60,2.550000000000001,2.6000000000000014,67,0.7910447761194029,0.8400000000000016,1.2537313432835844,1.2641509433962266
odd_x,4.10-4.15,4.099999999999994,4.149999999999994,52,0.7884615384615384,0.4800000000000004,0.9230769230769239,1.2682926829268293
odd_fav,2.00-2.05,2.000000000000001,2.0500000000000007,151,0.7880794701986755,1.3200000000000003,0.8741721854304638,1.26890756302521
odd_1,2.15-2.20,2.150000000000001,2.200000000000001,89,0.7865168539325843,0.6000000000000014,0.674157303370788,1.2714285714285714
odd_fav,1.60-1.65,1.6000000000000003,1.6500000000000004,117,0.7863247863247863,0.7600000000000016,0.6495726495726508,1.2717391304347827
odd_2,2.50-2.55,2.500000000000001,2.550000000000001,42,0.7857142857142857,0.2400000000000002,0.571428571428572,1.2727272727272727
odd_dog,3.35-3.40,3.3499999999999988,3.3999999999999986,125,0.784,0.4400000000000013,0.35200000000000103,1.2755102040816326
odd_dog,4.10-4.15,4.099999999999996,4.149999999999996,32,0.78125,8.881784197001252e-16,2.7755575615628914e-15,1.28
odd_fav,2.30-2.35,2.3000000000000007,2.350000000000001,105,0.780952380952381,-0.03999999999999915,-0.03809523809523728,1.2804878048780488
odd_fav,2.60-2.65,2.6000000000000014,2.6500000000000012,41,0.7804878048780488,-0.03999999999999915,-0.09756097560975402,1.28125
spread_fav_dog,1.15-1.20,1.1500000000000001,1.2000000000000002,68,0.7794117647058824,-0.15999999999999837,-0.2352941176470564,1.2830188679245282
odd_2,2.75-2.80,2.7500000000000013,2.8000000000000016,63,0.7777777777777778,-0.27999999999999936,-0.4444444444444434,1.2857142857142856
odd_x,3.50-3.55,3.4999999999999964,3.5499999999999963,247,0.7773279352226721,-1.2399999999999949,-0.5020242914979737,1.2864583333333333
odd_2,2.40-2.45,2.4000000000000012,2.450000000000001,44,0.7727272727272727,-0.47999999999999865,-1.090909090909088,1.2941176470588236
odd_2,3.20-3.25,3.200000000000002,3.2500000000000018,44,0.7727272727272727,-0.47999999999999865,-1.090909090909088,1.2941176470588236
odd_2,3.00-3.05,3.0000000000000018,3.0500000000000016,44,0.7727272727272727,-0.47999999999999865,-1.090909090909088,1.2941176470588236
odd_1,1.90-1.95,1.9000000000000006,1.9500000000000006,114,0.7719298245614035,-1.3599999999999994,-1.1929824561403504,1.2954545454545456
odd_1,2.80-2.85,2.8000000000000016,2.8500000000000014,35,0.7714285714285715,-0.4399999999999995,-1.2571428571428558,1.2962962962962963
odd_dog,3.25-3.30,3.249999999999999,3.299999999999999,96,0.7708333333333334,-1.2799999999999976,-1.3333333333333308,1.2972972972972971
odd_1,2.05-2.10,2.0500000000000007,2.1000000000000005,100,0.77,-1.4399999999999977,-1.4399999999999977,1.2987012987012987
odd_1,2.30-2.35,2.3000000000000007,2.350000000000001,65,0.7692307692307693,-0.9999999999999982,-1.5384615384615357,1.2999999999999998
odd_fav,2.40-2.45,2.4000000000000012,2.450000000000001,117,0.7692307692307693,-1.7999999999999972,-1.538461538461536,1.2999999999999998
odd_1,2.40-2.45,2.4000000000000012,2.450000000000001,78,0.7692307692307693,-1.1999999999999993,-1.5384615384615374,1.2999999999999998
odd_fav,1.65-1.70,1.6500000000000004,1.7000000000000004,82,0.7682926829268293,-1.3599999999999994,-1.6585365853658531,1.3015873015873016
