colonna,range,inclusivo,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_1,1.90-1.95,False,1.9000000000000006,1.9500000000000006,114,0.7105263157894737,-2.2200000000000095,-1.94736842105264,1.4074074074074074
odd_dog,3.50-3.55,False,3.4999999999999982,3.549999999999998,183,0.7103825136612022,-3.6000000000000156,-1.9672131147541068,1.4076923076923076
odd_x,3.60-3.65,False,3.599999999999996,3.649999999999996,183,0.7103825136612022,-3.6000000000000156,-1.9672131147541068,1.4076923076923076
odd_1,2.15-2.20,False,2.150000000000001,2.200000000000001,89,0.7078651685393258,-2.060000000000006,-2.3146067415730402,1.4126984126984128
odd_fav,2.15-2.20,False,2.150000000000001,2.200000000000001,136,0.7058823529411765,-3.5200000000000102,-2.5882352941176547,1.4166666666666665
odd_dog,3.35-3.40,False,3.3499999999999988,3.3999999999999986,125,0.704,-3.5600000000000094,-2.8480000000000074,1.4204545454545456
odd_fav,2.00-2.05,False,2.000000000000001,2.0500000000000007,151,0.7019867549668874,-4.720000000000013,-3.125827814569545,1.4245283018867925
odd_1,2.05-2.10,False,2.0500000000000007,2.1000000000000005,100,0.7,-3.4000000000000057,-3.4000000000000057,1.4285714285714286
odd_x,3.65-3.70,False,3.649999999999996,3.6999999999999957,129,0.6976744186046512,-4.800000000000011,-3.7209302325581484,1.4333333333333333
odd_x,3.30-3.35,False,3.299999999999997,3.349999999999997,200,0.695,-8.180000000000014,-4.090000000000007,1.4388489208633095
spread_fav_dog,1.20-1.25,False,1.2000000000000002,1.2500000000000002,124,0.6935483870967742,-5.320000000000007,-4.290322580645167,1.441860465116279
odd_x,3.35-3.40,False,3.349999999999997,3.399999999999997,150,0.6933333333333334,-6.480000000000011,-4.320000000000007,1.4423076923076923
odd_dog,3.65-3.70,False,3.6499999999999977,3.6999999999999975,91,0.6923076923076923,-4.060000000000006,-4.461538461538468,1.4444444444444444
odd_dog,3.55-3.60,False,3.549999999999998,3.599999999999998,136,0.6911764705882353,-6.280000000000008,-4.617647058823535,1.446808510638298
odd_1,1.60-1.65,False,1.6000000000000003,1.6500000000000004,97,0.6907216494845361,-4.540000000000006,-4.680412371134027,1.4477611940298507
odd_dog,3.20-3.25,False,3.1999999999999993,3.249999999999999,97,0.6907216494845361,-4.540000000000006,-4.680412371134027,1.4477611940298507
odd_x,3.50-3.55,False,3.4999999999999964,3.5499999999999963,247,0.6882591093117408,-12.40000000000002,-5.020242914979765,1.4529411764705884
odd_x,3.20-3.25,False,3.1999999999999975,3.2499999999999973,112,0.6875,-5.740000000000009,-5.125000000000008,1.4545454545454546
odd_1,2.45-2.50,False,2.450000000000001,2.500000000000001,95,0.6842105263157895,-5.300000000000008,-5.578947368421061,1.4615384615384615
odd_fav,2.05-2.10,False,2.0500000000000007,2.1000000000000005,136,0.6838235294117647,-7.660000000000011,-5.632352941176479,1.4623655913978495
odd_fav,1.65-1.70,False,1.6500000000000004,1.7000000000000004,82,0.6829268292682927,-4.720000000000006,-5.756097560975617,1.4642857142857142
odd_fav,2.30-2.35,False,2.3000000000000007,2.350000000000001,105,0.6761904761904762,-7.020000000000007,-6.685714285714292,1.4788732394366195
odd_fav,2.20-2.25,False,2.200000000000001,2.250000000000001,148,0.6756756756756757,-10.000000000000014,-6.756756756756767,1.48
odd_fav,1.60-1.65,False,1.6000000000000003,1.6500000000000004,117,0.6752136752136753,-7.9800000000000075,-6.8205128205128265,1.481012658227848
odd_fav,1.55-1.60,False,1.5500000000000003,1.6000000000000003,98,0.673469387755102,-6.920000000000009,-7.061224489795927,1.4848484848484849
odd_dog,3.30-3.35,False,3.299999999999999,3.3499999999999988,159,0.6729559748427673,-11.34000000000001,-7.13207547169812,1.485981308411215
odd_1,1.55-1.60,False,1.5500000000000003,1.6000000000000003,88,0.6704545454545454,-6.580000000000005,-7.477272727272734,1.4915254237288136
odd_1,2.20-2.25,False,2.200000000000001,2.250000000000001,97,0.6701030927835051,-7.300000000000008,-7.525773195876297,1.4923076923076923
spread_fav_dog,1.10-1.15,False,1.1,1.1500000000000001,106,0.6698113207547169,-8.020000000000007,-7.566037735849063,1.4929577464788732
odd_fav,1.90-1.95,False,1.9000000000000006,1.9500000000000006,150,0.6666666666666666,-12.000000000000014,-8.00000000000001,1.5
odd_1,1.80-1.85,False,1.8000000000000005,1.8500000000000005,86,0.6627906976744186,-7.340000000000007,-8.53488372093024,1.5087719298245614
odd_x,3.25-3.30,False,3.2499999999999973,3.299999999999997,123,0.6585365853658537,-11.22000000000001,-9.121951219512203,1.5185185185185184
odd_x,3.55-3.60,False,3.5499999999999963,3.599999999999996,158,0.6518987341772152,-15.860000000000014,-10.037974683544313,1.5339805825242718
odd_x,3.75-3.80,False,3.7499999999999956,3.7999999999999954,83,0.6506024096385542,-8.480000000000004,-10.216867469879523,1.537037037037037
odd_fav,1.80-1.85,False,1.8000000000000005,1.8500000000000005,116,0.646551724137931,-12.500000000000007,-10.775862068965523,1.5466666666666666
odd_fav,1.70-1.75,False,1.7000000000000004,1.7500000000000004,109,0.6422018348623854,-12.400000000000006,-11.37614678899083,1.5571428571428572
odd_1,1.70-1.75,False,1.7000000000000004,1.7500000000000004,89,0.6404494382022472,-10.340000000000007,-11.617977528089895,1.5614035087719298
odd_dog,3.25-3.30,False,3.249999999999999,3.299999999999999,96,0.6354166666666666,-11.820000000000007,-12.312500000000009,1.5737704918032789
